budget.level,supplementary,flow,fin.year,budget.category,flow.type,budget.entry,value
Union,FALSE,expenditure,2012,Ministries and Departments,Current Expenditure,Sports,3769.97
Union,FALSE,expenditure,2012,Ministries and Departments,Current Expenditure,Education,274480.579
Union,FALSE,expenditure,2012,Ministries and Departments,Current Expenditure,Health,65793.77869
Union,FALSE,expenditure,2012,Ministries and Departments,Current Expenditure,Pensions and Gratuities,39028.072
Union,FALSE,expenditure,2012,Ministries and Departments,Current Expenditure,Gratuities and Commuted Pensions,27060.5
Union,FALSE,expenditure,2012,Total,Current Expenditure,TOTAL M&D EXPENDITURES,4269608.762
Union,FALSE,expenditure,2012,Union Institutions,Current Expenditure,The President of the Union,3566.742
Union,FALSE,expenditure,2012,Union Institutions,Current Expenditure,Office of the Union Government,1895.409
Union,FALSE,expenditure,2012,Union Institutions,Current Expenditure,Pyidaungsu Hluttaw,8956.9716
Union,FALSE,expenditure,2012,Union Institutions,Current Expenditure,Supreme Court of the Union,1148.923
Union,FALSE,expenditure,2012,Union Institutions,Current Expenditure,Union Attorney-General Office,889.875
Union,FALSE,expenditure,2012,Union Institutions,Current Expenditure,Union Auditor-General Office,1275.63488
Union,FALSE,expenditure,2012,Union Institutions,Current Expenditure,Union Election Commission,1198.6
Union,FALSE,expenditure,2012,Union Institutions,Current Expenditure,Union Civil Services Board,4374.651
Union,FALSE,expenditure,2012,Union Institutions,Current Expenditure,Constitutional Tribunal of the Union,426.264
Union,FALSE,expenditure,2012,Total,Current Expenditure,TOTAL UG EXPENDITURES,23733.07048
Union,FALSE,expenditure,2012,CDC,Current Expenditure,Cantonment Municipilities under the Ministry of Defence,368.134
Union,FALSE,expenditure,2012,CDC,Current Expenditure,Nay Pyi Taw Development Committee,2050
Union,FALSE,expenditure,2012,Total,Current Expenditure,TOTAL CDC EXPENDITURES,2418.134
Union,FALSE,expenditure,2012,Grand Total,Current Expenditure,TOTAL EXPENDITURES ACROSS ALL CATEGORIES,4295759.967
Union,FALSE,expenditure,2013,Ministries and Departments,Current Expenditure,Home Affairs,96779.451
Union,FALSE,expenditure,2013,Ministries and Departments,Current Expenditure,Defence,865462.828
Union,FALSE,expenditure,2013,Ministries and Departments,Current Expenditure,Border Affairs,10117.591
Union,FALSE,expenditure,2013,Ministries and Departments,Current Expenditure,Foreign Affairs,24701.659
Union,FALSE,expenditure,2013,Ministries and Departments,Current Expenditure,Information,11495.151
Union,FALSE,expenditure,2013,Ministries and Departments,Current Expenditure,Culture,3505.1
Union,FALSE,expenditure,2013,Ministries and Departments,Current Expenditure,Agriculture and Irrigation,175492.202
Union,FALSE,expenditure,2013,Ministries and Departments,Current Expenditure,Religious Affairs,5597.923
Union,FALSE,expenditure,2013,Ministries and Departments,Current Expenditure,Cooperative,1129.567
Union,FALSE,expenditure,2013,Ministries and Departments,Current Expenditure,"Livestock, Fisheries and Rural Development",4172.287
Union,FALSE,expenditure,2013,Ministries and Departments,Current Expenditure,Industry,5255.666
Union,FALSE,expenditure,2013,Ministries and Departments,Current Expenditure,Rail Transportation,3596.995
Union,FALSE,expenditure,2013,Ministries and Departments,Current Expenditure,Mines,2501.634
Union,FALSE,expenditure,2013,Ministries and Departments,Current Expenditure,Construction,116719.319
Union,FALSE,expenditure,2013,Ministries and Departments,Current Expenditure,Finance,14740.456
Union,FALSE,expenditure,2013,Ministries and Departments,Current Expenditure,Electric Power,14711.372
Union,FALSE,expenditure,2013,Ministries and Departments,Current Expenditure,National Planning and Economic Development,10059.141
Union,FALSE,expenditure,2013,Ministries and Departments,Current Expenditure,"Labour, Employment and Social Security ",2446.8
Union,FALSE,expenditure,2013,Ministries and Departments,Current Expenditure,"Social Welfare, Relief and Resettlement",11358.51
Union,FALSE,expenditure,2013,Ministries and Departments,Current Expenditure,Transport,8519.623
Union,FALSE,expenditure,2013,Ministries and Departments,Current Expenditure,Communications and Information Technology,255.435
Union,FALSE,expenditure,2013,Ministries and Departments,Current Expenditure,Energy,308.652
Union,FALSE,expenditure,2013,Ministries and Departments,Current Expenditure,Immigration and Populations,9879.154
Union,FALSE,expenditure,2013,Ministries and Departments,Current Expenditure,Science and Technology,9757.143
Union,FALSE,expenditure,2013,Ministries and Departments,Current Expenditure,Environmental Conservation and Forestry,9132.427
Union,FALSE,expenditure,2013,Ministries and Departments,Current Expenditure,Electric Power No.(2),310.78
Union,FALSE,expenditure,2013,Ministries and Departments,Current Expenditure,Commerce,3383.147
Union,FALSE,expenditure,2013,Ministries and Departments,Current Expenditure,Hotels and Tourism Services,453.592
Union,FALSE,expenditure,2013,Ministries and Departments,Current Expenditure,Sports,6570.657
Union,FALSE,expenditure,2013,Ministries and Departments,Current Expenditure,Education,542952.048
Union,FALSE,expenditure,2013,Ministries and Departments,Current Expenditure,Health,176935.083
Union,FALSE,expenditure,2013,Ministries and Departments,Current Expenditure,Pensions and Gratuities,253904.077
Union,FALSE,expenditure,2013,Ministries and Departments,Current Expenditure,Gratuities and Commuted Pensions,27060.5
Union,FALSE,expenditure,2013,Ministries and Departments,Current Expenditure,Reserve Fund,100000
Union,FALSE,expenditure,2013,Total,Current Expenditure,TOTAL M&D EXPENDITURES,2529265.97
Union,FALSE,expenditure,2013,Union Institutions,Current Expenditure,The President of the Union,13871.122
Union,FALSE,expenditure,2013,Union Institutions,Current Expenditure,Office of the Union Government,1242.287
Union,FALSE,expenditure,2013,Union Institutions,Current Expenditure,Pyidaungsu Hluttaw,11272.539
Union,FALSE,expenditure,2013,Union Institutions,Current Expenditure,Supreme Court of the Union,832.504
Union,FALSE,expenditure,2013,Union Institutions,Current Expenditure,Union Attorney-General Office,1420.097
Union,FALSE,expenditure,2013,Union Institutions,Current Expenditure,Union Auditor-General Office,1478.04
Union,FALSE,expenditure,2013,Union Institutions,Current Expenditure,Union Election Commission,1548.366
Union,FALSE,expenditure,2013,Union Institutions,Current Expenditure,Union Civil Services Board,5150.485
Union,FALSE,expenditure,2013,Union Institutions,Current Expenditure,Constitutional Tribunal of the Union,399.883
Union,FALSE,expenditure,2013,Total,Current Expenditure,TOTAL UG EXPENDITURES,37215.323
Union,FALSE,expenditure,2013,SEEs,Current Expenditure,State-owned Economic Organizations under the Ministry of Information,12847.485
Union,FALSE,expenditure,2013,SEEs,Current Expenditure,State-owned Economic Organizations under the Ministry of Agriculture and Irrigation,41594.76
Union,FALSE,expenditure,2013,SEEs,Current Expenditure,State-owned Economic Organizations under the Ministry of Co-operative,269.039
Union,FALSE,expenditure,2013,SEEs,Current Expenditure,State-owned Economic Organizations under the Ministry of Livestock and Fisheries,12042.301
Union,FALSE,expenditure,2013,SEEs,Current Expenditure,State-owned Economic Organizations under the Ministry of Industry,137204.888
Union,FALSE,expenditure,2013,SEEs,Current Expenditure,State-owned Economic Organizations under the Ministry of Rail Transportation,68638.856
Union,FALSE,expenditure,2013,SEEs,Current Expenditure,State-owned Economic Organizations under the Ministry of Mines,158990.493
Union,FALSE,expenditure,2013,SEEs,Current Expenditure,State-owned Economic Organizations under the Ministry of Construction,95875.725
Union,FALSE,expenditure,2013,SEEs,Current Expenditure,State-owned Economic Organizations under the Ministry of Finance and Revenue,612460.088
Union,FALSE,expenditure,2013,SEEs,Current Expenditure,State-owned Economic Organizations under the Ministry of Electricity Power,117903.153
Union,FALSE,expenditure,2013,SEEs,Current Expenditure,State-owned Economic Organizations under the Ministry of Labour,5034.94
Union,FALSE,expenditure,2013,SEEs,Current Expenditure,State-owned Economic Organizations under the Ministry of Transportation,47345.51
Union,FALSE,expenditure,2013,SEEs,Current Expenditure,"State-owned Economic Organizations under the Ministry of Communications, Posts and Telegraphs",490390.301
Union,FALSE,expenditure,2013,SEEs,Current Expenditure,State-owned Economic Organizations under the Ministry of Energy,1643552.802
Union,FALSE,expenditure,2013,SEEs,Current Expenditure,State-owned Economic Organizations under the Ministry of Environmental Conservation and Forestry,210806.46
Union,FALSE,expenditure,2013,SEEs,Current Expenditure,State-owned Economic Organizations under the Ministry of Industry No. (2),263318.23
Union,FALSE,expenditure,2013,SEEs,Current Expenditure,State-owned Economic Organizations under the Ministry of Economic and Trade,7364.675
Union,FALSE,expenditure,2013,SEEs,Current Expenditure,State-owned Economic Organizations under the Ministry of Hotels and Tourism,4158.396
Union,FALSE,expenditure,2013,Total,Current Expenditure,TOTAL SOE EXPENDITURES,3929798.102
Union,FALSE,expenditure,2013,CDC,Current Expenditure,Cantonment Municipilities under the Ministry of Defence,571.969
Union,FALSE,expenditure,2013,CDC,Current Expenditure,Nay Pyi Taw Development Committee,3375.24
Union,FALSE,expenditure,2013,Total,Current Expenditure,TOTAL CDC EXPENDITURES,3947.209
Union,FALSE,expenditure,2013,Grand Total,Current Expenditure,TOTAL EXPENDITURES ACROSS ALL CATEGORIES,6500226.604
Union,FALSE,expenditure,2014,Ministries and Departments,Current Expenditure,Home Affairs,164657.155
Union,FALSE,expenditure,2014,Ministries and Departments,Current Expenditure,Defence,1177244.486
Union,FALSE,expenditure,2014,Ministries and Departments,Current Expenditure,Border Affairs,14721.312
Union,FALSE,expenditure,2014,Ministries and Departments,Current Expenditure,Foreign Affairs,35522.741
Union,FALSE,expenditure,2014,Ministries and Departments,Current Expenditure,Information,14014.874
Union,FALSE,expenditure,2014,Ministries and Departments,Current Expenditure,Religious Affairs,6240.647
Union,FALSE,expenditure,2014,Ministries and Departments,Current Expenditure,Cooperative,2420.912
Union,FALSE,expenditure,2014,Ministries and Departments,Current Expenditure,Agriculture and Irrigation,179704.013
Union,FALSE,expenditure,2014,Ministries and Departments,Current Expenditure,"Livestock, Fisheries and Rural Development",4806.933
Union,FALSE,expenditure,2014,Ministries and Departments,Current Expenditure,Communications and Information Technology,275.79
Union,FALSE,expenditure,2014,Ministries and Departments,Current Expenditure,Transport,10884.782
Union,FALSE,expenditure,2014,Ministries and Departments,Current Expenditure,Environmental Conservation and Forestry,10854.912
Union,FALSE,expenditure,2014,Ministries and Departments,Current Expenditure,Electric Power,17304.092
Union,FALSE,expenditure,2014,Ministries and Departments,Current Expenditure,Immigration and Populations,24400.197
Union,FALSE,expenditure,2014,Ministries and Departments,Current Expenditure,Energy,385.818
Union,FALSE,expenditure,2014,Ministries and Departments,Current Expenditure,Industry,4233.009
Union,FALSE,expenditure,2014,Ministries and Departments,Current Expenditure,Commerce,6792.658
Union,FALSE,expenditure,2014,Ministries and Departments,Current Expenditure,Sports,36018.564
Union,FALSE,expenditure,2014,Ministries and Departments,Current Expenditure,Education,685375.34
Union,FALSE,expenditure,2014,Ministries and Departments,Current Expenditure,Health,303054.213
Union,FALSE,expenditure,2014,Ministries and Departments,Current Expenditure,Mines,2301.201
Union,FALSE,expenditure,2014,Ministries and Departments,Current Expenditure,Culture,8237.724
Union,FALSE,expenditure,2014,Ministries and Departments,Current Expenditure,Finance,15914.987
Union,FALSE,expenditure,2014,Ministries and Departments,Current Expenditure,National Planning and Economic Development,12387.048
Union,FALSE,expenditure,2014,Ministries and Departments,Current Expenditure,Construction,85833.96
Union,FALSE,expenditure,2014,Ministries and Departments,Current Expenditure,"Labour, Employment and Social Security ",6292.83
Union,FALSE,expenditure,2014,Ministries and Departments,Current Expenditure,Rail Transportation,5435.868
Union,FALSE,expenditure,2014,Ministries and Departments,Current Expenditure,"Social Welfare, Relief and Resettlement",5742.481
Union,FALSE,expenditure,2014,Ministries and Departments,Current Expenditure,Science and Technology,38530.175
Union,FALSE,expenditure,2014,Ministries and Departments,Current Expenditure,Hotels and Tourism Services,751.117
Union,FALSE,expenditure,2014,Ministries and Departments,Current Expenditure,Pensions and Gratuities,309928.141
Union,FALSE,expenditure,2014,Ministries and Departments,Current Expenditure,Gratuities and Commuted Pensions,50500.5
Union,FALSE,expenditure,2014,Ministries and Departments,Current Expenditure,Reserve Fund,100000
Union,FALSE,expenditure,2014,Total,Current Expenditure,TOTAL M&D EXPENDITURES,3340768.48
Union,FALSE,expenditure,2014,Union Institutions,Current Expenditure,The President of the Union,10321.418
Union,FALSE,expenditure,2014,Union Institutions,Current Expenditure,Office of the Union Government,1277.322
Union,FALSE,expenditure,2014,Union Institutions,Current Expenditure,Pyidaungsu Hluttaw,14024.442
Union,FALSE,expenditure,2014,Union Institutions,Current Expenditure,Supreme Court of the Union,1194.843
Union,FALSE,expenditure,2014,Union Institutions,Current Expenditure,Union Attorney-General Office,1305.202
Union,FALSE,expenditure,2014,Union Institutions,Current Expenditure,Union Auditor-General Office,1783.031
Union,FALSE,expenditure,2014,Union Institutions,Current Expenditure,Union Election Commission,3242.205
Union,FALSE,expenditure,2014,Union Institutions,Current Expenditure,Union Civil Services Board,5551.992
Union,FALSE,expenditure,2014,Union Institutions,Current Expenditure,Constitutional Tribunal of the Union,445.728
Union,FALSE,expenditure,2014,Total,Current Expenditure,TOTAL UG EXPENDITURES,39146.183
Union,FALSE,expenditure,2014,SEEs,Current Expenditure,State-owned Economic Organizations under the Ministry of Information,8936.688
Union,FALSE,expenditure,2014,SEEs,Current Expenditure,State-owned Economic Organizations under the Ministry of Agriculture and Irrigation,29867.828
Union,FALSE,expenditure,2014,SEEs,Current Expenditure,State-owned Economic Organizations under the Ministry of Co-operative,296.942
Union,FALSE,expenditure,2014,SEEs,Current Expenditure,State-owned Economic Organizations under the Ministry of Livestock and Fisheries,9318.539
Union,FALSE,expenditure,2014,SEEs,Current Expenditure,State-owned Economic Organizations under the Ministry of Industry,125615.43
Union,FALSE,expenditure,2014,SEEs,Current Expenditure,State-owned Economic Organizations under the Ministry of Rail Transportation,66718.568
Union,FALSE,expenditure,2014,SEEs,Current Expenditure,State-owned Economic Organizations under the Ministry of Mines,22095.616
Union,FALSE,expenditure,2014,SEEs,Current Expenditure,State-owned Economic Organizations under the Ministry of Construction,95136.394
Union,FALSE,expenditure,2014,SEEs,Current Expenditure,State-owned Economic Organizations under the Ministry of Finance and Revenue,638371.591
Union,FALSE,expenditure,2014,SEEs,Current Expenditure,State-owned Economic Organizations under the Ministry of Electricity Power,154286.569
Union,FALSE,expenditure,2014,SEEs,Current Expenditure,State-owned Economic Organizations under the Ministry of Transportation,88819.949
Union,FALSE,expenditure,2014,SEEs,Current Expenditure,"State-owned Economic Organizations under the Ministry of Communications, Posts and Telegraphs",91353.711
Union,FALSE,expenditure,2014,SEEs,Current Expenditure,State-owned Economic Organizations under the Ministry of Energy,831394.655
Union,FALSE,expenditure,2014,SEEs,Current Expenditure,State-owned Economic Organizations under the Ministry of Environmental Conservation and Forestry,254230.236
Union,FALSE,expenditure,2014,SEEs,Current Expenditure,State-owned Economic Organizations under the Ministry of Hotels and Tourism,4411.841
Union,FALSE,expenditure,2014,Total,Current Expenditure,TOTAL SOE EXPENDITURES,2420854.557
Union,FALSE,expenditure,2014,CDC,Current Expenditure,Cantonment Municipilities under the Ministry of Defence,772.233
Union,FALSE,expenditure,2014,CDC,Current Expenditure,Nay Pyi Taw Development Committee,5311.034
Union,FALSE,expenditure,2014,Total,Current Expenditure,TOTAL CDC EXPENDITURES,6083.267
Union,FALSE,expenditure,2014,Grand Total,Current Expenditure,TOTAL EXPENDITURES ACROSS ALL CATEGORIES,5806852.487
Union,FALSE,expenditure,2015,Ministries and Departments,Current Expenditure,Home Affairs,203406.728
Union,FALSE,expenditure,2015,Ministries and Departments,Current Expenditure,Defence,1150449.08
Union,FALSE,expenditure,2015,Ministries and Departments,Current Expenditure,Border Affairs,15299.661
Union,FALSE,expenditure,2015,Ministries and Departments,Current Expenditure,Foreign Affairs,41921.192
Union,FALSE,expenditure,2015,Ministries and Departments,Current Expenditure,Information,24196.36
Union,FALSE,expenditure,2015,Ministries and Departments,Current Expenditure,Religious Affairs,7178.184
Union,FALSE,expenditure,2015,Ministries and Departments,Current Expenditure,Cooperative,2942.721
Union,FALSE,expenditure,2015,Ministries and Departments,Current Expenditure,Agriculture and Irrigation,202199.565
Union,FALSE,expenditure,2015,Ministries and Departments,Current Expenditure,"Livestock, Fisheries and Rural Development",32408.523
Union,FALSE,expenditure,2015,Ministries and Departments,Current Expenditure,Communications and Information Technology,484.28
Union,FALSE,expenditure,2015,Ministries and Departments,Current Expenditure,Transport,13520.591
Union,FALSE,expenditure,2015,Ministries and Departments,Current Expenditure,Environmental Conservation and Forestry,12872.439
Union,FALSE,expenditure,2015,Ministries and Departments,Current Expenditure,Electric Power,15179.237
Union,FALSE,expenditure,2015,Ministries and Departments,Current Expenditure,Immigration and Populations,13562.108
Union,FALSE,expenditure,2015,Ministries and Departments,Current Expenditure,Energy,511.803
Union,FALSE,expenditure,2015,Ministries and Departments,Current Expenditure,Industry,5019.686
Union,FALSE,expenditure,2015,Ministries and Departments,Current Expenditure,Commerce,11592.372
Union,FALSE,expenditure,2015,Ministries and Departments,Current Expenditure,Sports,10198.747
Union,FALSE,expenditure,2015,Ministries and Departments,Current Expenditure,Education,873765.153
Union,FALSE,expenditure,2015,Ministries and Departments,Current Expenditure,Health,381178.267
Union,FALSE,expenditure,2015,Ministries and Departments,Current Expenditure,Mines,2518.119
Union,FALSE,expenditure,2015,Ministries and Departments,Current Expenditure,Culture,6176.043
Union,FALSE,expenditure,2015,Ministries and Departments,Current Expenditure,Finance,19611.051
Union,FALSE,expenditure,2015,Ministries and Departments,Current Expenditure,National Planning and Economic Development,14617.047
Union,FALSE,expenditure,2015,Ministries and Departments,Current Expenditure,Construction,87442.282
Union,FALSE,expenditure,2015,Ministries and Departments,Current Expenditure,"Labour, Employment and Social Security ",9161.469
Union,FALSE,expenditure,2015,Ministries and Departments,Current Expenditure,Rail Transportation,6638.136
Union,FALSE,expenditure,2015,Ministries and Departments,Current Expenditure,"Social Welfare, Relief and Resettlement",7600.388
Union,FALSE,expenditure,2015,Ministries and Departments,Current Expenditure,Science and Technology,45170.218
Union,FALSE,expenditure,2015,Ministries and Departments,Current Expenditure,Hotels and Tourism Services,3072.167
Union,FALSE,expenditure,2015,Ministries and Departments,Current Expenditure,Pensions and Gratuities,412963.607
Union,FALSE,expenditure,2015,Ministries and Departments,Current Expenditure,Gratuities and Commuted Pensions,36500.5
Union,FALSE,expenditure,2015,Ministries and Departments,Current Expenditure,Reserve Fund,100000
Union,FALSE,expenditure,2015,Ministries and Departments,Current Expenditure,Social Security Board Employment and Social Security,9199.06
Union,FALSE,expenditure,2015,Total,Current Expenditure,TOTAL M&D EXPENDITURES,3778556.784
Union,FALSE,expenditure,2015,Union Institutions,Current Expenditure,The President of the Union,14555.925
Union,FALSE,expenditure,2015,Union Institutions,Current Expenditure,Office of the Union Government,1486.466
Union,FALSE,expenditure,2015,Union Institutions,Current Expenditure,Pyidaungsu Hluttaw,1659.859
Union,FALSE,expenditure,2015,Union Institutions,Current Expenditure,Pyithu Hluttaw,8423.349
Union,FALSE,expenditure,2015,Union Institutions,Current Expenditure,Amyotha Hluttaw,6078.739
Union,FALSE,expenditure,2015,Union Institutions,Current Expenditure,Supreme Court of the Union,11083.25
Union,FALSE,expenditure,2015,Union Institutions,Current Expenditure,Constitutional Tribunal of the Union,686.427
Union,FALSE,expenditure,2015,Union Institutions,Current Expenditure,Union Election Commission,5084.242
Union,FALSE,expenditure,2015,Union Institutions,Current Expenditure,Union Attorney-General Office,1418.483
Union,FALSE,expenditure,2015,Union Institutions,Current Expenditure,Union Auditor-General Office,2400.487
Union,FALSE,expenditure,2015,Union Institutions,Current Expenditure,Union Civil Services Board,6548.875
Union,FALSE,expenditure,2015,Total,Current Expenditure,TOTAL UG EXPENDITURES,59426.102
Union,FALSE,expenditure,2015,SEEs,Current Expenditure,State-owned Economic Organizations under the Ministry of Information,8975.777
Union,FALSE,expenditure,2015,SEEs,Current Expenditure,State-owned Economic Organizations under the Ministry of Co-operative,323.205
Union,FALSE,expenditure,2015,SEEs,Current Expenditure,State-owned Economic Organizations under the Ministry of Agriculture and Irrigation,45605.901
Union,FALSE,expenditure,2015,SEEs,Current Expenditure,State-owned Economic Organizations under the Ministry Communication and Information Technology,196021.299
Union,FALSE,expenditure,2015,SEEs,Current Expenditure,State-owned Economic Organizations under the Ministry of Environmental Conservation and Forestry,137310.615
Union,FALSE,expenditure,2015,SEEs,Current Expenditure,State-owned Economic Organizations under the Ministry of Electricity Power,288050.366
Union,FALSE,expenditure,2015,SEEs,Current Expenditure,State-owned Economic Organizations under the Ministry of Energy,949503.981
Union,FALSE,expenditure,2015,SEEs,Current Expenditure,State-owned Economic Organizations under the Ministry of Industry,164646.217
Union,FALSE,expenditure,2015,SEEs,Current Expenditure,State-owned Economic Organizations under the Ministry of Mines,25597.861
Union,FALSE,expenditure,2015,SEEs,Current Expenditure,State-owned Economic Organizations under the Ministry of Finance and Revenue,349969.518
Union,FALSE,expenditure,2015,SEEs,Current Expenditure,State-owned Economic Organizations under the Ministry of Construction,98492.111
Union,FALSE,expenditure,2015,SEEs,Current Expenditure,State-owned Economic Organizations under the Ministry of Rail Transportation,86436.526
Union,FALSE,expenditure,2015,SEEs,Current Expenditure,Central Bank of Myanmar,346182.203
Union,FALSE,expenditure,2015,SEEs,Current Expenditure,State-owned Economic Organizations under the Ministry of Transportation,88968.345
Union,FALSE,expenditure,2015,Total,Current Expenditure,TOTAL SOE EXPENDITURES,2786083.925
Union,FALSE,expenditure,2015,CDC,Current Expenditure,Cantonment Municipilities under the Ministry of Defence,912.979
Union,FALSE,expenditure,2015,CDC,Current Expenditure,Nay Pyi Taw Development Committee,5764.84
Union,FALSE,expenditure,2015,Total,Current Expenditure,TOTAL CDC EXPENDITURES,6677.819
Union,FALSE,expenditure,2015,Grand Total,Current Expenditure,TOTAL EXPENDITURES ACROSS ALL CATEGORIES,6630744.63
Union,FALSE,expenditure,2016,Ministries and Departments,Current Expenditure,Home Affairs,241047.591
Union,FALSE,expenditure,2016,Ministries and Departments,Current Expenditure,Defence,1486337.109
Union,FALSE,expenditure,2016,Ministries and Departments,Current Expenditure,Border Affairs,20496.292
Union,FALSE,expenditure,2016,Ministries and Departments,Current Expenditure,Foreign Affairs,38415.039
Union,FALSE,expenditure,2016,Ministries and Departments,Current Expenditure,Information,27622.429
Union,FALSE,expenditure,2016,Ministries and Departments,Current Expenditure,Religious Affairs,8567.716
Union,FALSE,expenditure,2016,Ministries and Departments,Current Expenditure,Cooperative,4928.458
Union,FALSE,expenditure,2016,Ministries and Departments,Current Expenditure,Agriculture and Irrigation,228565.684
Union,FALSE,expenditure,2016,Ministries and Departments,Current Expenditure,"Livestock, Fisheries and Rural Development",29828.291
Union,FALSE,expenditure,2016,Ministries and Departments,Current Expenditure,Communications and Information Technology,1729.994
Union,FALSE,expenditure,2016,Ministries and Departments,Current Expenditure,Transport,17128.963
Union,FALSE,expenditure,2016,Ministries and Departments,Current Expenditure,Environmental Conservation and Forestry,14177.584
Union,FALSE,expenditure,2016,Ministries and Departments,Current Expenditure,Electric Power,17198.784
Union,FALSE,expenditure,2016,Ministries and Departments,Current Expenditure,Immigration and Populations,19325.461
Union,FALSE,expenditure,2016,Ministries and Departments,Current Expenditure,Energy,637.221
Union,FALSE,expenditure,2016,Ministries and Departments,Current Expenditure,Industry,9036.229
Union,FALSE,expenditure,2016,Ministries and Departments,Current Expenditure,Commerce,13400.816
Union,FALSE,expenditure,2016,Ministries and Departments,Current Expenditure,Sports,18004.277
Union,FALSE,expenditure,2016,Ministries and Departments,Current Expenditure,Education,1131447.135
Union,FALSE,expenditure,2016,Ministries and Departments,Current Expenditure,Health,400704.525
Union,FALSE,expenditure,2016,Ministries and Departments,Current Expenditure,Mines,3119.253
Union,FALSE,expenditure,2016,Ministries and Departments,Current Expenditure,Culture,7999.869
Union,FALSE,expenditure,2016,Ministries and Departments,Current Expenditure,Finance,30024.914
Union,FALSE,expenditure,2016,Ministries and Departments,Current Expenditure,National Planning and Economic Development,14820.977
Union,FALSE,expenditure,2016,Ministries and Departments,Current Expenditure,Construction,103191.609
Union,FALSE,expenditure,2016,Ministries and Departments,Current Expenditure,"Labour, Employment and Social Security ",9648
Union,FALSE,expenditure,2016,Ministries and Departments,Current Expenditure,Rail Transportation,11340.665
Union,FALSE,expenditure,2016,Ministries and Departments,Current Expenditure,"Social Welfare, Relief and Resettlement",9322.244
Union,FALSE,expenditure,2016,Ministries and Departments,Current Expenditure,Science and Technology,59549.472
Union,FALSE,expenditure,2016,Ministries and Departments,Current Expenditure,Hotels and Tourism Services,3721.102
Union,FALSE,expenditure,2016,Ministries and Departments,Current Expenditure,Pensions and Gratuities,628096.067
Union,FALSE,expenditure,2016,Ministries and Departments,Current Expenditure,Gratuities and Commuted Pensions,53800.5
Union,FALSE,expenditure,2016,Ministries and Departments,Current Expenditure,Reserve Fund,100000
Union,FALSE,expenditure,2016,Ministries and Departments,Current Expenditure,Social Security Board Employment and Social Security,14118
Union,FALSE,expenditure,2016,Total,Current Expenditure,TOTAL M&D EXPENDITURES,4777352.27
Union,FALSE,expenditure,2016,Union Institutions,Current Expenditure,The President of the Union,10058.196
Union,FALSE,expenditure,2016,Union Institutions,Current Expenditure,Office of the Union Government,1841.813
Union,FALSE,expenditure,2016,Union Institutions,Current Expenditure,Pyidaungsu Hluttaw,1184.973
Union,FALSE,expenditure,2016,Union Institutions,Current Expenditure,Pyithu Hluttaw,7195.803
Union,FALSE,expenditure,2016,Union Institutions,Current Expenditure,Amyotha Hluttaw,5438.476
Union,FALSE,expenditure,2016,Union Institutions,Current Expenditure,Supreme Court of the Union,14407.209
Union,FALSE,expenditure,2016,Union Institutions,Current Expenditure,Constitutional Tribunal of the Union,770.608
Union,FALSE,expenditure,2016,Union Institutions,Current Expenditure,Union Election Commission,49555.295
Union,FALSE,expenditure,2016,Union Institutions,Current Expenditure,Union Attorney-General Office,2032.12
Union,FALSE,expenditure,2016,Union Institutions,Current Expenditure,Union Auditor-General Office,3107.915
Union,FALSE,expenditure,2016,Union Institutions,Current Expenditure,Union Civil Services Board,7448.337
Union,FALSE,expenditure,2016,Total,Current Expenditure,TOTAL UG EXPENDITURES,103040.745
Union,FALSE,expenditure,2016,SEEs,Current Expenditure,State-owned Economic Organizations under the Ministry of Information,12255.15
Union,FALSE,expenditure,2016,SEEs,Current Expenditure,State-owned Economic Organizations under the Ministry of Agriculture and Irrigation,36634.045
Union,FALSE,expenditure,2016,SEEs,Current Expenditure,State-owned Economic Organizations under the Ministry Communication and Information Technology,53758.648
Union,FALSE,expenditure,2016,SEEs,Current Expenditure,State-owned Economic Organizations under the Ministry of Environmental Conservation and Forestry,161444.638
Union,FALSE,expenditure,2016,SEEs,Current Expenditure,State-owned Economic Organizations under the Ministry of Electricity Power,136955.704
Union,FALSE,expenditure,2016,SEEs,Current Expenditure,State-owned Economic Organizations under the Ministry of Energy,304286.33
Union,FALSE,expenditure,2016,SEEs,Current Expenditure,State-owned Economic Organizations under the Ministry of Industry,167279.589
Union,FALSE,expenditure,2016,SEEs,Current Expenditure,State-owned Economic Organizations under the Ministry of Mines,23537.911
Union,FALSE,expenditure,2016,SEEs,Current Expenditure,State-owned Economic Organizations under the Ministry of Finance and Revenue,378010.349
Union,FALSE,expenditure,2016,SEEs,Current Expenditure,State-owned Economic Organizations under the Ministry of Rail Transportation,95734.567
Union,FALSE,expenditure,2016,SEEs,Current Expenditure,State-owned Economic Organizations under the Ministry of Transportation,145305.52
Union,FALSE,expenditure,2016,Total,Current Expenditure,TOTAL SOE EXPENDITURES,1515202.451
Union,FALSE,expenditure,2016,CDC,Current Expenditure,Cantonment Municipilities under the Ministry of Defence,1060.526
Union,FALSE,expenditure,2016,CDC,Current Expenditure,Nay Pyi Taw Development Committee,25548.81
Union,FALSE,expenditure,2016,Total,Current Expenditure,TOTAL CDC EXPENDITURES,26609.336
Union,FALSE,expenditure,2016,Central Bank,Current Expenditure,Central Bank of Myanmar,241054.326
Union,FALSE,expenditure,2016,Total,Current Expenditure,Total Central Bank of Myanmar,241054.326
