budget.level,supplementary,flow,fin.year,budget.category,flow.type,budget.entry,value
Union,FALSE,income,2015,Ministries and Departments,Taxes,Tax on extraction of forest produces,1848.061
Union,FALSE,income,2015,Ministries and Departments,Taxes,Tax on extraction of mineral,7.45
Union,FALSE,income,2015,Ministries and Departments,Taxes,Tax on Fisheries,1083.7
Union,FALSE,income,2015,Ministries and Departments,Taxes,Tax levied on rubber ,0.5
Union,FALSE,income,2015,Ministries and Departments,Taxes,Tax on extraction of petroleum and natural gas,329343.271
Union,FALSE,income,2015,Ministries and Departments,Taxes,Minerals Tax and Treasure Tax,1400
Union,FALSE,income,2015,Ministries and Departments,Taxes,Tax levied on Communication Services,1225000
Union,FALSE,income,2015,Ministries and Departments,Taxes,Tax levied on extraction of electricity,11460
Union,FALSE,income,2015,Ministries and Departments,Taxes,Social Security Board Employment and Social Security,0
Union,FALSE,income,2015,Total,Taxes,TOTAL M&D REVENUES,4890580.943
Union,FALSE,income,2015,Total,Taxes,TOTAL UG REVENUES,0
Union,FALSE,income,2015,Total,Taxes,TOTAL SOE REVENUES,0
Union,FALSE,income,2015,CDC,Taxes,Cantonment Municipilities under the Ministry of Defence,2.851
Union,FALSE,income,2015,CDC,Taxes,Nay Pyi Taw Development Committee,378.783
Union,FALSE,income,2015,Total,Taxes,TOTAL CDC REVENUES,381.634
Union,FALSE,income,2015,Grand Total,Taxes,TOTAL REVENUES ACROSS ALL CATEGORIES,4890962.577
Union,FALSE,income,2016,Ministries and Departments,Taxes,Excise Tax,917.794
Union,FALSE,income,2016,Ministries and Departments,Taxes,Commercial tax,2324565.355
Union,FALSE,income,2016,Ministries and Departments,Taxes,Licence fees on imported goods,6500
Union,FALSE,income,2016,Ministries and Departments,Taxes,State Lottery,30000
Union,FALSE,income,2016,Ministries and Departments,Taxes,Taxes on Transport,185300
Union,FALSE,income,2016,Ministries and Departments,Taxes,Sales proceeds of stamps,32710
Union,FALSE,income,2016,Ministries and Departments,Taxes,Income-Tax,2135434.645
Union,FALSE,income,2016,Ministries and Departments,Taxes,Customs duties,375000
Union,FALSE,income,2016,Ministries and Departments,Taxes,Taxes on land(Land Revenue),0.873
Union,FALSE,income,2016,Ministries and Departments,Taxes,Water Tax and Embankment Tax,0.025
Union,FALSE,income,2016,Ministries and Departments,Taxes,Tax on extraction of forest produces,1272.937
Union,FALSE,income,2016,Ministries and Departments,Taxes,Tax on extraction of mineral,5.15
Union,FALSE,income,2016,Ministries and Departments,Taxes,Tax on Fisheries,1103.8
Union,FALSE,income,2016,Ministries and Departments,Taxes,Tax levied on rubber ,0.5
Union,FALSE,income,2016,Ministries and Departments,Taxes,Tax on extraction of petroleum and natural gas,306311.05
Union,FALSE,income,2016,Ministries and Departments,Taxes,Minerals Tax and Treasure Tax,9390
Union,FALSE,income,2016,Ministries and Departments,Taxes,Tax levied on Communication Services,529880
Union,FALSE,income,2016,Ministries and Departments,Taxes,Tax levied on extraction of electricity,9882
Union,FALSE,income,2016,Total,Taxes,TOTAL M&D REVENUES,5948274.129
Union,FALSE,income,2016,Total,Taxes,TOTAL UG REVENUES,0
Union,FALSE,income,2016,Total,Taxes,TOTAL SOE REVENUES,0
Union,FALSE,income,2016,CDC,Taxes,Cantonment Municipilities under the Ministry of Defence,3.051
Union,FALSE,income,2016,CDC,Taxes,Nay Pyi Taw Development Committee,430.63
Union,FALSE,income,2016,Total,Taxes,TOTAL CDC REVENUES,433.681
Union,FALSE,income,2016,Total,Taxes,Total Central Bank of Myanmar,0
Union,FALSE,income,2016,Grand Total,Taxes,TOTAL REVENUES ACROSS ALL CATEGORIES,5948707.81
Union,FALSE,income,2017,Ministries and Departments,Taxes,Excise Tax,940.311
Union,FALSE,income,2017,Ministries and Departments,Taxes,Commercial tax,2229929.745
Union,FALSE,income,2017,Ministries and Departments,Taxes,Licence fees on imported goods,5000
Union,FALSE,income,2017,Ministries and Departments,Taxes,State Lottery,30000
Union,FALSE,income,2017,Ministries and Departments,Taxes,Taxes on Transport,181470
Union,FALSE,income,2017,Ministries and Departments,Taxes,Sales proceeds of stamps,37710
Union,FALSE,income,2017,Ministries and Departments,Taxes,Tax on cultured pearl and property,460
Union,FALSE,income,2017,Ministries and Departments,Taxes,Income-Tax,2370434.645
Union,FALSE,income,2017,Ministries and Departments,Taxes,Customs duties,475000
Union,FALSE,income,2017,Ministries and Departments,Taxes,Taxes on land(Land Revenue),1.485
Union,FALSE,income,2017,Ministries and Departments,Taxes,Water Tax and Embankment Tax,13.723
Union,FALSE,income,2017,Ministries and Departments,Taxes,Tax on extraction of forest produces,0.025
Union,FALSE,income,2017,Ministries and Departments,Taxes,Tax on extraction of mineral,2886.265
Union,FALSE,income,2017,Ministries and Departments,Taxes,Tax on Fisheries,3.855
Union,FALSE,income,2017,Ministries and Departments,Taxes,Tax levied on rubber ,1303.8
Union,FALSE,income,2017,Ministries and Departments,Taxes,Tax on extraction of petroleum and natural gas,710613.714
Union,FALSE,income,2017,Ministries and Departments,Taxes,Minerals Tax and Treasure Tax,19540
Union,FALSE,income,2017,Ministries and Departments,Taxes,Tax levied on Communication Services,142595.149
Union,FALSE,income,2017,Ministries and Departments,Taxes,Tax levied on extraction of electricity,10426.32
Union,FALSE,income,2017,Total,Taxes,TOTAL M&D REVENUES,6218329.037
Union,FALSE,income,2017,Total,Taxes,TOTAL UG REVENUES,0
Union,FALSE,income,2017,Total,Taxes,TOTAL M&D  out of Union Fund REVENUES,0
Union,FALSE,income,2017,Total,Taxes,TOTAL SOE REVENUES,0
Union,FALSE,income,2017,Total,Taxes,SEEs out of Union Funds,0
Union,FALSE,income,2017,CDC,Taxes,Cantonment Municipilities under the Ministry of Defence,5.781
Union,FALSE,income,2017,CDC,Taxes,Nay Pyi Taw Development Committee,492.41
Union,FALSE,income,2017,Total,Taxes,TOTAL CDC REVENUES,498.191
Union,FALSE,income,2017,Total,Taxes,TOTAL NAY PYI TAW COUNCIL,0
Union,FALSE,income,2017,Total,Taxes,Total Central Bank of Myanmar,0
Union,FALSE,income,2017,Grand Total,Taxes,TOTAL REVENUES ACROSS ALL CATEGORIES,6218827.228
Union,FALSE,income,2018,Ministries and Departments,Taxes,Excise Tax,940.311
Union,FALSE,income,2018,Ministries and Departments,Taxes,Commercial tax,1752443.232
Union,FALSE,income,2018,Ministries and Departments,Taxes,Licence fees on imported goods,5000
Union,FALSE,income,2018,Ministries and Departments,Taxes,State Lottery,47356.258
Union,FALSE,income,2018,Ministries and Departments,Taxes,Taxes on Transport,170580
Union,FALSE,income,2018,Ministries and Departments,Taxes,Sales proceeds of stamps,47689.312
Union,FALSE,income,2018,Ministries and Departments,Taxes,Tax on cultured pearl and property,640
Union,FALSE,income,2018,Ministries and Departments,Taxes,Licence fees on Hotels and Tourism Services,717.84
Union,FALSE,income,2018,Ministries and Departments,Taxes,Commodity tax,687299.931
Union,FALSE,income,2018,Ministries and Departments,Taxes,Income-Tax,2382000
Union,FALSE,income,2018,Ministries and Departments,Taxes,Customs duties,490000
Union,FALSE,income,2018,Ministries and Departments,Taxes,Taxes on land(Land Revenue),1.485
Union,FALSE,income,2018,Ministries and Departments,Taxes,Water Tax,95.118
Union,FALSE,income,2018,Ministries and Departments,Taxes,Embankment Tax,0.025
Union,FALSE,income,2018,Ministries and Departments,Taxes,Tax on extraction of forest produces,2296.775
Union,FALSE,income,2018,Ministries and Departments,Taxes,Tax on extraction of mineral,3.855
Union,FALSE,income,2018,Ministries and Departments,Taxes,Tax on Fisheries,1503.8
Union,FALSE,income,2018,Ministries and Departments,Taxes,Tax on extraction of petroleum and natural gas,278623.086
Union,FALSE,income,2018,Ministries and Departments,Taxes,Minerals Tax and Treasure Tax,27143.542
Union,FALSE,income,2018,Ministries and Departments,Taxes,Tax levied on Communication Services,576248
Union,FALSE,income,2018,Ministries and Departments,Taxes,Tax levied on extraction of electricity,10426.32
Union,FALSE,income,2018,Total,Taxes,TOTAL M&D REVENUES,6481008.89
Union,FALSE,income,2018,CDC,Taxes,Cantonment Municipilities under the Ministry of Defence,5.941
Union,FALSE,income,2018,CDC,Taxes,Nay Pyi Taw Development Committee,542.278
Union,FALSE,income,2018,Total,Taxes,TOTAL CDC REVENUES,548.219
Union,FALSE,income,2018,Grand Total,Taxes,TOTAL REVENUES ACROSS ALL CATEGORIES,6481557.109
Union,FALSE,income,2012,Ministries and Departments,Receipts from theState-owned Economic Organizations,Receipts from the Union Economic Organizations,909024.579
Union,FALSE,income,2012,Total,Receipts from theState-owned Economic Organizations,TOTAL M&D REVENUES,909024.579
Union,FALSE,income,2012,Grand Total,Receipts from theState-owned Economic Organizations,TOTAL REVENUES ACROSS ALL CATEGORIES,909024.579
Union,FALSE,income,2013,Ministries and Departments,Receipts from theState-owned Economic Organizations,Receipts from the Union Economic Organizations,842560.838
Union,FALSE,income,2013,Total,Receipts from theState-owned Economic Organizations,TOTAL M&D REVENUES,842560.838
Union,FALSE,income,2013,Total,Receipts from theState-owned Economic Organizations,TOTAL UG REVENUES,0
Union,FALSE,income,2013,Total,Receipts from theState-owned Economic Organizations,TOTAL SOE REVENUES,0
Union,FALSE,income,2013,Total,Receipts from theState-owned Economic Organizations,TOTAL CDC REVENUES,0
Union,FALSE,income,2013,Grand Total,Receipts from theState-owned Economic Organizations,TOTAL REVENUES ACROSS ALL CATEGORIES,842560.838
Union,FALSE,income,2014,Ministries and Departments,Receipts from theState-owned Economic Organizations,Receipts from the Union Economic Organizations,944897.333
Union,FALSE,income,2014,Ministries and Departments,Receipts from theState-owned Economic Organizations,Receipts from the State-owned Economic Organizations undertaken outside the Union Budget Account,3836.727
Union,FALSE,income,2014,Total,Receipts from theState-owned Economic Organizations,TOTAL M&D REVENUES,948734.06
Union,FALSE,income,2014,Total,Receipts from theState-owned Economic Organizations,TOTAL UG REVENUES,0
Union,FALSE,income,2014,Total,Receipts from theState-owned Economic Organizations,TOTAL SOE REVENUES,0
Union,FALSE,income,2014,Total,Receipts from theState-owned Economic Organizations,TOTAL CDC REVENUES,0
Union,FALSE,income,2014,Grand Total,Receipts from theState-owned Economic Organizations,TOTAL REVENUES ACROSS ALL CATEGORIES,948734.06
Union,FALSE,income,2015,Ministries and Departments,Receipts from theState-owned Economic Organizations,Receipts from the Union Economic Organizations,527880.11
Union,FALSE,income,2015,Ministries and Departments,Receipts from theState-owned Economic Organizations,Receipts from the State-owned Economic Organizations undertaken outside the Union Budget Account,5179.353
Union,FALSE,income,2015,Ministries and Departments,Receipts from theState-owned Economic Organizations,Social Security Board Employment and Social Security,0
Union,FALSE,income,2015,Total,Receipts from theState-owned Economic Organizations,TOTAL M&D REVENUES,533059.463
Union,FALSE,income,2015,Total,Receipts from theState-owned Economic Organizations,TOTAL UG REVENUES,0
Union,FALSE,income,2015,Total,Receipts from theState-owned Economic Organizations,TOTAL SOE REVENUES,0
Union,FALSE,income,2015,Total,Receipts from theState-owned Economic Organizations,TOTAL CDC REVENUES,0
Union,FALSE,income,2015,Grand Total,Receipts from theState-owned Economic Organizations,TOTAL REVENUES ACROSS ALL CATEGORIES,533059.463
Union,FALSE,income,2016,Ministries and Departments,Receipts from theState-owned Economic Organizations,Receipts from the Union Economic Organizations,528621.41
Union,FALSE,income,2016,Ministries and Departments,Receipts from theState-owned Economic Organizations,Receipts from the State-owned Economic Organizations undertaken outside the Union Budget Account,8386.721
Union,FALSE,income,2016,Ministries and Departments,Receipts from theState-owned Economic Organizations,Central Bank of Myanmar,161043
Union,FALSE,income,2016,Total,Receipts from theState-owned Economic Organizations,TOTAL M&D REVENUES,698051.131
Union,FALSE,income,2016,Total,Receipts from theState-owned Economic Organizations,TOTAL UG REVENUES,0
Union,FALSE,income,2016,Total,Receipts from theState-owned Economic Organizations,TOTAL SOE REVENUES,0
Union,FALSE,income,2016,Total,Receipts from theState-owned Economic Organizations,TOTAL CDC REVENUES,0
Union,FALSE,income,2016,Total,Receipts from theState-owned Economic Organizations,Total Central Bank of Myanmar,0
Union,FALSE,income,2016,Grand Total,Receipts from theState-owned Economic Organizations,TOTAL REVENUES ACROSS ALL CATEGORIES,698051.131
Union,FALSE,income,2017,Ministries and Departments,Receipts from theState-owned Economic Organizations,Receipts from the Union Economic Organizations,363441.216
Union,FALSE,income,2017,Ministries and Departments,Receipts from theState-owned Economic Organizations,Receipts from the State-owned Economic Organizations undertaken outside the Union Budget Account,22084.732
Union,FALSE,income,2017,Ministries and Departments,Receipts from theState-owned Economic Organizations,Central Bank of Myanmar,186563.4
Union,FALSE,income,2017,Total,Receipts from theState-owned Economic Organizations,TOTAL M&D REVENUES,572089.348
Union,FALSE,income,2017,Total,Receipts from theState-owned Economic Organizations,TOTAL UG REVENUES,0
Union,FALSE,income,2017,Total,Receipts from theState-owned Economic Organizations,TOTAL M&D  out of Union Fund REVENUES,0
Union,FALSE,income,2017,Total,Receipts from theState-owned Economic Organizations,TOTAL SOE REVENUES,0
Union,FALSE,income,2017,Total,Receipts from theState-owned Economic Organizations,SEEs out of Union Funds,0
Union,FALSE,income,2017,Total,Receipts from theState-owned Economic Organizations,TOTAL CDC REVENUES,0
Union,FALSE,income,2017,Total,Receipts from theState-owned Economic Organizations,TOTAL NAY PYI TAW COUNCIL,0
Union,FALSE,income,2017,Total,Receipts from theState-owned Economic Organizations,Total Central Bank of Myanmar,0
